wind,solar,electric,cooling,heating,temperature,day_cos,day_sin,hour_cos,hour_sin,mean,std
2.41,0.0,172503.8598,54421.35859,69052.69194,16.0,0.5123714121284237,0.8587639582758029,1.0,0.0,49332.720055000005,67653.87917111343
3.03,0.0,169334.891,62331.2591,75104.49798,14.0,0.5123714121284237,0.8587639582758029,0.9659258262890683,0.25881904510252074,51131.27968,67102.50430899825
3.55,0.0,167121.0603,64007.88821,70364.12528,12.0,0.5123714121284237,0.8587639582758029,0.8660254037844387,0.49999999999999994,50251.43729833333,66070.15533299762
3.85,0.0,168140.7098,65970.93461,70337.57693,11.0,0.5123714121284237,0.8587639582758029,0.7071067811865476,0.7071067811865476,50744.01189,66514.82378149417
3.97,0.0,174031.492,55908.48019,82202.47543,10.0,0.5123714121284237,0.8587639582758029,0.5000000000000001,0.8660254037844386,52026.06960333334,69180.47981512854
4.02,0.0,190196.6827,64331.4948,83052.78163,9.0,0.5123714121284237,0.8587639582758029,0.25881904510252074,0.9659258262890683,56265.66318833333,75121.41484662009
3.83,12.35,205276.8601,81920.5415,86830.37816,8.0,0.5123714121284237,0.8587639582758029,6.123233995736766e-17,1.0,62341.99329333333,81326.42184192305
3.65,104.8,227105.2423,88929.70882,110611.0021,6.0,0.5123714121284237,0.8587639582758029,-0.25881904510252063,0.9659258262890683,71126.73387000001,90957.14967257666
3.67,247.5,238792.0229,85327.63442,111965.4261,6.0,0.5123714121284237,0.8587639582758029,-0.4999999999999998,0.8660254037844387,72723.70890333333,94980.34146487385
4.22,403.05,243114.7166,96969.9211,103891.9671,6.0,0.5123714121284237,0.8587639582758029,-0.7071067811865475,0.7071067811865476,74064.97913333333,96320.20302359242
5.19,533.15,238681.8581,89835.55554,105899.4923,6.0,0.5123714121284237,0.8587639582758029,-0.8660254037844387,0.49999999999999994,72493.54099,94575.43263965803
5.96,664.6,230758.7375,83008.25438,92653.70228,5.0,0.5123714121284237,0.8587639582758029,-0.9659258262890682,0.258819045102521,67849.37569333334,90668.50482480742
6.36,659.72,231314.9333,84487.51922,98063.4091,5.0,0.5123714121284237,0.8587639582758029,-1.0,1.2246467991473532e-16,69089.49027,91237.55890768312
6.59,583.3,235690.4422,90537.97093,112669.0333,5.0,0.5123714121284237,0.8587639582758029,-0.9659258262890683,-0.2588190451025208,73248.72273833334,94073.91540681645
6.79,452.8,240035.212,75356.56951,113281.1787,4.0,0.5123714121284237,0.8587639582758029,-0.8660254037844388,-0.4999999999999997,71522.75836833332,95326.08910273814
7.05,290.23,239147.9662,93145.19686,100891.0904,5.0,0.5123714121284237,0.8587639582758029,-0.7071067811865479,-0.7071067811865471,72247.75557666666,94581.65229128348
7.29,127.45,244411.5729,74354.05582,112945.0867,7.0,0.5123714121284237,0.8587639582758029,-0.5000000000000004,-0.8660254037844385,71975.40923666666,96891.0670092336
7.56,16.95,247509.9937,88563.75915,104016.6475,10.0,0.5123714121284237,0.8587639582758029,-0.25881904510252063,-0.9659258262890683,73354.151725,97610.66577580821
7.99,0.0,240536.7629,72856.47109,97035.19407,11.0,0.5123714121284237,0.8587639582758029,-1.8369701987210297e-16,-1.0,68407.90301,94344.03170713884
8.32,0.0,238707.302,81443.97661,112665.1422,12.0,0.5123714121284237,0.8587639582758029,0.2588190451025203,-0.9659258262890684,72139.45680166666,94955.91026207991
8.79,0.0,229248.5849,79471.05902,100695.0825,12.0,0.5123714121284237,0.8587639582758029,0.5000000000000001,-0.8660254037844386,68239.25273666666,90631.66011610591
9.18,0.0,214064.4461,75865.72429,102253.3475,14.0,0.5123714121284237,0.8587639582758029,0.7071067811865474,-0.7071067811865477,65367.782981666656,85319.70493355521
9.07,0.0,213138.7169,67199.82757,105512.9033,14.0,0.5123714121284237,0.8587639582758029,0.8660254037844384,-0.5000000000000004,64312.41962833334,85159.12000199522
8.61,0.0,189321.5087,65746.18101,80909.65522,13.0,0.5123714121284237,0.8587639582758029,0.9659258262890681,-0.25881904510252157,55999.825821666665,74693.61896769122
8.01,0.0,183024.5645,57478.99292,91273.30167,13.0,0.49751328890718066,0.8674563547295969,1.0,0.0,55299.64484833333,73190.62418958347
7.44,0.0,180943.2937,62540.8633,75575.7136,12.0,0.49751328890718066,0.8674563547295969,0.9659258262890683,0.25881904510252074,53179.88510000001,71266.99478344987
7.04,0.0,179057.7884,59055.13776,87542.27669,11.0,0.49751328890718066,0.8674563547295969,0.8660254037844387,0.49999999999999994,54278.87380833334,71464.22099173267
6.76,0.0,177624.6403,70374.58026,86629.14561,9.0,0.49751328890718066,0.8674563547295969,0.7071067811865476,0.7071067811865476,55774.021028333336,71194.45884937666
6.43,0.0,184870.9192,64751.44479,84287.5921,8.0,0.49751328890718066,0.8674563547295969,0.5000000000000001,0.8660254037844386,55654.06434833333,73335.06035270669
6.33,0.0,201861.6511,68083.54704,96698.65972,8.0,0.49751328890718066,0.8674563547295969,0.25881904510252074,0.9659258262890683,61109.697976666655,80408.65045165572
6.54,21.9,209746.0997,72349.73031,95274.32913,7.0,0.49751328890718066,0.8674563547295969,6.123233995736766e-17,1.0,62900.93318999999,83145.58773718323
6.89,203.3,231822.5801,74879.00933,108198.5084,6.0,0.49751328890718066,0.8674563547295969,-0.25881904510252063,0.9659258262890683,69186.04797166666,92016.60492887524
7.04,431.52,242037.2789,91762.7755,114655.7018,6.0,0.49751328890718066,0.8674563547295969,-0.4999999999999998,0.8660254037844387,74816.71936666667,96502.14361801399
7.2,630.33,250806.8452,79197.62605,106692.7316,5.0,0.49751328890718066,0.8674563547295969,-0.7071067811865475,0.7071067811865476,72889.95547500001,98673.60364886453
7.25,776.03,239081.3345,76430.96332,109258.5183,5.0,0.49751328890718066,0.8674563547295969,-0.8660254037844387,0.49999999999999994,70926.51602,94610.97054057421
7.36,835.15,236867.1655,92348.9434,109561.6786,5.0,0.49751328890718066,0.8674563547295969,-0.9659258262890682,0.258819045102521,73270.88291666667,94262.51292121947
7.22,842.3,233435.4141,86729.55278,103766.3847,4.0,0.49751328890718066,0.8674563547295969,-1.0,1.2246467991473532e-16,70797.47859666667,92421.40678296477
6.85,779.22,239577.5525,88913.15796,98217.19026,4.0,0.49751328890718066,0.8674563547295969,-0.9659258262890683,-0.2588190451025208,71249.66178666666,94330.36754017635
7.05,647.25,239639.8836,82980.51573,102689.2313,14.0,0.49751328890718066,0.8674563547295969,-0.8660254037844388,-0.4999999999999997,70996.32177166665,94462.34273534831
7.66,459.42,239605.6042,89148.16203,119542.2631,13.0,0.49751328890718066,0.8674563547295969,-0.7071067811865479,-0.7071067811865471,74796.01822166667,96002.22733662011
7.79,236.82,240858.0145,92954.66683,116673.2543,12.0,0.49751328890718066,0.8674563547295969,-0.5000000000000004,-0.8660254037844385,75123.75760499999,96337.3074686424
7.41,0.01,245113.4297,83444.13279,100059.9614,12.0,0.49751328890718066,0.8674563547295969,-0.25881904510252063,-0.9659258262890683,71439.49064833333,96367.9488689988
6.88,0.0,239804.8738,88614.98671,116626.3929,11.0,0.49751328890718066,0.8674563547295969,-1.8369701987210297e-16,-1.0,74177.35556833334,95861.38803750054
6.56,0.0,248513.9475,77192.61228,123878.8507,10.0,0.49751328890718066,0.8674563547295969,0.2588190451025203,-0.9659258262890684,74933.66174666666,99371.5545916904
6.25,0.0,229737.8016,91198.83675,109051.3541,9.0,0.49751328890718066,0.8674563547295969,0.5000000000000001,-0.8660254037844386,71667.207075,91838.71932913114
5.89,0.0,213044.1016,78361.48036,105245.7738,8.0,0.49751328890718066,0.8674563547295969,0.7071067811865474,-0.7071067811865477,66110.87429333333,85300.75923840434
5.35,0.0,205091.9492,74745.87592,85398.03309,8.0,0.49751328890718066,0.8674563547295969,0.8660254037844384,-0.5000000000000004,60874.868035,80880.1340160792
4.93,0.0,196006.9449,68910.01275,92069.39794,7.0,0.49751328890718066,0.8674563547295969,0.9659258262890681,-0.25881904510252157,59499.714264999995,77977.93332844351
4.51,0.0,188422.5101,64741.82591,85455.89075,7.0,0.48250774176121847,0.8758917051442429,1.0,0.0,56438.62279333334,74679.77880378651
3.97,0.0,185248.3288,71944.15758,77017.68111,7.0,0.48250774176121847,0.8758917051442429,0.9659258262890683,0.25881904510252074,55703.522915,73222.03713440339
3.42,0.0,182137.5867,55539.6778,80223.29371,5.0,0.48250774176121847,0.8758917051442429,0.8660254037844387,0.49999999999999994,52984.82970166667,71902.96255136843
3.17,0.0,180449.4557,70747.60309,88361.08281,5.0,0.48250774176121847,0.8758917051442429,0.7071067811865476,0.7071067811865476,56594.38526666667,72328.92054156432
3.22,0.0,183009.2184,68584.76386,82835.75289,5.0,0.48250774176121847,0.8758917051442429,0.5000000000000001,0.8660254037844386,55739.65919166667,72686.37864760289
3.34,0.0,193591.6604,61354.71657,87495.9543,5.0,0.48250774176121847,0.8758917051442429,0.25881904510252074,0.9659258262890683,57075.11187833333,76618.88005092693
3.34,27.15,213331.2135,66048.27857,91774.61436,9.0,0.48250774176121847,0.8758917051442429,6.123233995736766e-17,1.0,61865.59940500001,84060.74956507122
